Test_Time(s),Step_Time(s),Current(A),Voltage(V)
3.006273302,3.006273687,0,3.308688402
8.010857451,5.004283446,-1.099776387,3.110791683
13.0140557,10.00748131,-1.099595904,3.105559587
18.0183222,15.01174781,-1.099956751,3.10063529
23.02553712,20.01896273,-1.099776387,3.097249746
28.02886548,25.02229147,-1.099776387,3.094172239
33.03818958,30.03161558,-1.099776387,3.091402292
38.04133778,35.03476378,-1.099776387,3.089247704
43.04558081,40.03900642,-1.099956751,3.087093353
48.04983076,45.04325637,-1.099776387,3.0855546
53.0511454,50.0445714,-1.099956751,3.084015608
58.05637854,55.04980454,-1.099956751,3.082169056
63.06060001,60.05402562,-1.099956751,3.081245899
68.06885932,65.06228531,-1.099595904,3.080014706
73.07705164,70.07047764,-1.099776387,3.079091311
78.08134587,75.07477186,-1.099776387,3.077860355
83.08957207,80.08299768,-1.099595904,3.077244759
88.09482946,85.08825507,-1.099776387,3.076321363
93.10017848,90.09360447,-1.100137234,3.075706005
98.10838158,95.10180719,-1.099776387,3.075090408
103.1105431,100.1039691,-1.099776387,3.074474812
108.1158409,105.1092669,-1.099956751,3.073243856
113.1214298,110.1148562,-1.099595904,3.073243856
118.1273366,115.1207622,-1.099776387,3.072320461
123.1335568,120.1269824,-1.099776387,3.072012663
128.1338882,125.1273142,-1.099776387,3.071704865
133.1380597,130.1314853,-1.099776387,3.071089268
138.1383345,135.1317605,-1.099956751,3.070473909
143.1435707,140.1369967,-1.099776387,3.070166111
148.152814,145.1462396,-1.099956751,3.069242716
153.1561574,150.1495834,-1.099776387,3.068934917
158.1603196,155.1537452,-1.099956751,3.068627119
163.1645414,160.1579674,-1.099776387,3.068011522
168.169778,165.1632036,-1.099776387,3.067703962
173.1760771,170.1695031,-1.099776387,3.067396164
178.1833005,175.1767265,-1.099776387,3.066780567
183.184527,180.177953,-1.099776387,3.06616497
188.1908499,185.1842759,-1.099776387,3.065549374
193.1930896,190.1865156,-1.099776387,3.065241814
198.2013324,195.194758,-1.099776387,3.064934015
203.2075564,200.2009824,-1.099956751,3.064318419
208.2113533,205.20478,-1.099776387,3.063702822
213.2180785,210.2115045,-1.099776387,3.063395023
218.2262828,215.2197084,-1.100137234,3.062471867
223.231621,220.225047,-1.099776387,3.062164068
228.2391897,225.2326153,-1.099776387,3.062164068
233.2480757,230.2415017,-1.099776387,3.061548471
238.2553184,235.248744,-1.099956751,3.060932875
243.2635519,240.2569775,-1.099956751,3.060009718
248.2701035,245.2635299,-1.099956751,3.05970192
253.278173,250.271599,-1.099956751,3.059086323
258.287327,255.280753,-1.099776387,3.058778524
263.2936985,260.2871244,-1.099776387,3.057855129
268.302787,265.2962126,-1.100137234,3.056931973
273.3080805,270.3015065,-1.099956751,3.056624174
278.3123413,275.3057673,-1.099956751,3.056316376
283.3156696,280.309096,-1.099776387,3.055392981
288.3227806,285.3162062,-1.099776387,3.055085182
293.3290689,290.3224945,-1.099956751,3.054777384
298.3333377,295.3267634,-1.099956751,3.053854227
303.3385728,300.3319988,-1.099956751,3.053546429
308.3429186,305.3363442,-1.099776387,3.052930832
313.3490749,310.3425005,-1.099956751,3.052315235
318.3543192,315.3477452,-1.099776387,3.051392078
323.3556931,320.3491187,-1.099776387,3.050776482
328.361834,325.3552596,-1.099776387,3.050468683
333.3691278,330.3625534,-1.099595904,3.049853086
338.376327,335.3697526,-1.099776387,3.049545288
343.3836092,340.3770352,-1.099956751,3.048622131
348.3868314,345.3802573,-1.099776387,3.048006535
353.3950275,350.3884531,-1.099776387,3.047390938
358.3983909,355.3918165,-1.099956751,3.047390938
363.4015884,360.3950144,-1.099956751,3.046467781
368.4068223,365.4002483,-1.100137234,3.045852184
373.4150708,370.4084964,-1.099956751,3.045236588
378.4233178,375.4167438,-1.099776387,3.044928789
383.4296901,380.4231164,-1.099776387,3.044313192
388.4338241,385.4272501,-1.099776387,3.043390036
393.4410691,390.4344947,-1.099956751,3.043082237
398.4473281,395.4407538,-1.099776387,3.04246664
403.4552776,400.4487036,-1.099776387,3.042158842
408.4617972,405.4552232,-1.099776387,3.041543245
413.4621468,410.4555728,-1.099776387,3.041235685
418.4674265,415.4608525,-1.099776387,3.040620089
423.470634,420.4640596,-1.099956751,3.040004492
428.4738161,425.4672417,-1.099776387,3.039696693
433.4790527,430.4724787,-1.099776387,3.038773537
438.4863426,435.479769,-1.099776387,3.038465738
443.4875734,440.480999,-1.099776387,3.03815794
448.4967935,445.4902195,-1.099956751,3.037234545
453.5051641,450.4985901,-1.099595904,3.037234545
458.5093594,455.5027854,-1.099776387,3.036618948
463.5176352,460.5110609,-1.099956751,3.03600359
468.5238169,465.5172425,-1.099776387,3.035695791
473.5310669,470.5244925,-1.099956751,3.035080194
478.5393185,475.5327445,-1.099776387,3.034772396
483.5415682,480.5349938,-1.099776387,3.034156799
488.5448561,485.5382821,-1.099776387,3.033541203
493.5500739,490.5434995,-1.099776387,3.032618046
498.5564349,495.5498613,-1.099956751,3.032618046
503.5615611,500.5549867,-1.099776387,3.032310247
508.5637854,505.5572114,-1.099956751,3.031694651
513.5712058,510.5646318,-1.099776387,3.031386852
518.5793524,515.5727783,-1.099776387,3.030771494
523.5795194,520.5729454,-1.099776387,3.030155897
528.5858578,525.5792834,-1.099956751,3.029848099
533.5910821,530.5845077,-1.099956751,3.029232502
538.5954163,535.5888423,-1.099956751,3.028616905
543.601523,540.5949489,-1.099956751,3.028309107
548.6087937,545.6022197,-1.099776387,3.027693748
553.6140137,550.6074393,-1.099776387,3.027693748
558.619402,555.612828,-1.099776387,3.026770353
563.6255995,560.6190251,-1.099776387,3.026154757
568.6269064,565.6203324,-1.099776387,3.025846958
573.6331601,570.6265861,-1.099776387,3.0252316
578.6333129,575.6267389,-1.099776387,3.024923801
583.641563,580.634989,-1.099776387,3.024000406
588.64982,585.643246,-1.099776387,3.023384809
593.6554466,590.6488733,-1.099956751,3.022769451
598.6594032,595.6528292,-1.099956751,3.022461653
603.663451,600.6568766,-1.099776387,3.022153854
608.6678861,605.6613121,-1.099595904,3.021538258
613.6731813,610.6666076,-1.099595904,3.021230459
618.6793141,615.6727397,-1.099776387,3.020307064
623.686688,620.6801139,-1.099956751,3.019383907
628.6918125,625.6852381,-1.099776387,3.019076109
633.6960717,630.6894973,-1.099956751,3.017844915
638.7033867,635.6968127,-1.099776387,3.017844915
643.7095665,640.7029925,-1.099776387,3.017229557
648.7155873,645.7090129,-1.099776387,3.01661396
653.720109,650.713535,-1.099776387,3.015998363
658.727312,655.7207376,-1.099956751,3.015382767
663.7305206,660.7239462,-1.099776387,3.01445961
668.7347775,665.7282031,-1.099776387,3.014151812
673.738057,670.731483,-1.099776387,3.013228416
678.7433194,675.736745,-1.099776387,3.01261282
683.7516522,680.7450782,-1.099956751,3.011997461
688.7558144,685.7492404,-1.099595904,3.011689663
693.7572118,690.7506389,-1.099956751,3.010766268
698.7623822,695.7558078,-1.099956751,3.010150671
703.7696487,700.7630747,-1.099776387,3.009535313
708.7717679,705.7651939,-1.099776387,3.008611917
713.7761376,710.7695632,-1.099776387,3.007996321
718.7813765,715.7748025,-1.099776387,3.007072926
723.7874969,720.7809226,-1.099776387,3.006457567
728.7959018,725.7893278,-1.099956751,3.00584197
733.8040645,730.7974904,-1.099956751,3.005226374
738.808314,735.8017396,-1.099956751,3.004610777
743.815701,740.809127,-1.099956751,3.003379822
748.8229205,745.8163462,-1.099776387,3.003072023
753.832071,750.825497,-1.099956751,3.00184083
758.8353085,755.8287342,-1.099776387,3.001225471
763.8395785,760.8330045,-1.099776387,3.000609875
768.8408273,765.8342529,-1.099776387,2.99968648
773.8450638,770.8384894,-1.099776387,2.999070883
778.8502927,775.8437183,-1.099956751,2.998147726
783.8565325,780.8499581,-1.099776387,2.997224331
788.8619062,785.8553318,-1.099776387,2.996301174
793.8670304,790.8604564,-1.099956751,2.995685577
798.8733083,795.8667339,-1.099776387,2.994762182
803.8735354,800.866961,-1.099956751,2.993531227
808.881804,805.8752296,-1.099956751,2.993531227
813.8850149,810.8784409,-1.099776387,2.99291563
818.8893434,815.8827694,-1.099956751,2.991992235
823.892584,820.8860096,-1.099956751,2.991069078
828.8987969,825.8922225,-1.099776387,2.990145683
833.9040858,830.8975118,-1.099776387,2.989530087
838.9083989,835.9018249,-1.099776387,2.988606691
843.9166524,840.9100784,-1.099776387,2.987683535
848.9228087,845.9162343,-1.099956751,2.987067938
853.9300579,850.9234835,-1.099776387,2.986144543
858.9372528,855.9306788,-1.100137234,2.985529184
863.94063,860.9340556,-1.099776387,2.984605789
868.9468772,865.9403028,-1.099956751,2.983682394
873.9521411,870.9455671,-1.099956751,2.983067036
878.958349,875.951775,-1.099776387,2.982143641
883.96257,880.9559956,-1.099776387,2.981528044
888.9678578,885.9612835,-1.099956751,2.980604649
893.9730421,890.9664677,-1.099776387,2.97998929
898.9824825,895.9759085,-1.099776387,2.979373693
903.9885833,900.9820093,-1.099776387,2.978758097
908.9928052,905.9862311,-1.099776387,2.97783494
913.9980591,910.9914847,-1.099776387,2.976911545
919.0033915,915.9968179,-1.099956751,2.976295948
924.0075249,921.0009509,-1.099776387,2.97598815
929.0168351,926.0102611,-1.099776387,2.974757195
934.0240985,931.0175241,-1.099776387,2.973833799
939.0332779,936.0267035,-1.099956751,2.973218203
944.0366036,941.0300292,-1.099776387,2.972602606
949.0398095,946.0332355,-1.099595904,2.971987247
954.0493411,951.0427675,-1.099595904,2.971371651
959.0493415,956.0427675,-1.099595904,2.970448256
964.0565564,961.049982,-1.099776387,2.969832897
969.0588157,966.0522413,-1.099776387,2.968909502
974.0670627,971.0604883,-1.099776387,2.968293905
979.0762894,976.069715,-1.099776387,2.96737051
984.0825104,981.075936,-1.099776387,2.966447353
989.0898073,986.0832333,-1.099776387,2.965831757
994.0940214,991.087447,-1.099956751,2.964600801
999.1024436,996.0958692,-1.099776387,2.963985205
1004.106573,1001.099999,-1.099776387,2.963369608
1009.11182,1006.105246,-1.099956751,2.962138414
1014.117109,1011.110535,-1.099956751,2.961215258
1019.118308,1016.111733,-1.099956751,2.960291862
1024.126585,1021.120011,-1.099776387,2.959368467
1029.134924,1026.12835,-1.099776387,2.958137512
1034.143083,1031.136509,-1.099956751,2.956906319
1039.144327,1036.137753,-1.099956751,2.95629096
1044.150564,1041.14399,-1.099956751,2.955059767
1049.157805,1046.151231,-1.099776387,2.953828812
1054.160064,1051.153489,-1.099956751,2.952597618
1059.165412,1056.158838,-1.099956751,2.951366425
1064.172555,1061.16598,-1.099776387,2.950135469
1069.177819,1066.171244,-1.100137234,2.948596716
1074.18308,1071.176506,-1.099776387,2.947057724
1079.191314,1076.18474,-1.099776387,2.945826769
1084.19955,1081.192976,-1.099776387,2.943979979
1089.203766,1086.197191,-1.099776387,2.942749023
1094.210103,1091.203528,-1.099776387,2.940594673
1099.217307,1096.210733,-1.099956751,2.938440084
1104.222538,1101.215964,-1.099956751,2.936593533
1109.222593,1106.216019,-1.099776387,2.934439182
1114.226063,1111.219489,-1.099776387,2.932284832
1119.230296,1116.223722,-1.099776387,2.930130482
1124.235551,1121.228977,-1.099776387,2.927052736
1129.242769,1126.236194,-1.099776387,2.924282789
1134.249061,1131.242487,-1.099776387,2.921205044
1139.256302,1136.249728,-1.099776387,2.918127298
1144.262547,1141.255973,-1.099776387,2.914433956
1149.268827,1146.262252,-1.099776387,2.910740852
1154.276161,1151.269587,-1.099956751,2.90704751
1159.284394,1156.27782,-1.099956751,2.90273881
1164.289552,1161.282978,-1.099776387,2.898429871
1169.297987,1166.291413,-1.099776387,2.89412117
1174.306079,1171.299505,-1.099595904,2.889196873
1179.314288,1176.307713,-1.099776387,2.884272575
1184.321547,1181.314973,-1.099956751,2.878424883
1189.329938,1186.323364,-1.099776387,2.872884989
1194.338069,1191.331495,-1.099776387,2.867037296
1199.346306,1196.339732,-1.099956751,2.860882044
1204.355716,1201.349142,-1.099776387,2.854418755
1209.359806,1206.353232,-1.099956751,2.847955465
1214.36605,1211.359476,-1.099956751,2.841184616
1219.3733,1216.366726,-1.099956751,2.834413767
1224.380563,1221.373989,-1.099956751,2.827027082
1229.38484,1226.378266,-1.099956751,2.819640636
1234.389125,1231.382551,-1.099776387,2.811638594
1239.393316,1236.386742,-1.099776387,2.803636551
1244.397578,1241.391004,-1.099776387,2.79532671
1249.406815,1246.400241,-1.099956751,2.78640151
1254.41205,1251.405475,-1.099776387,2.777783871
1259.418465,1256.41189,-1.099776387,2.768243074
1264.422604,1261.41603,-1.099776387,2.758394241
1269.430895,1266.424321,-1.099776387,2.748545647
1274.435147,1271.428573,-1.099776387,2.737773657
1279.441296,1276.434721,-1.099776387,2.726693869
1284.447511,1281.440936,-1.099776387,2.71530652
1289.455895,1286.44932,-1.099776387,2.702995539
1294.463051,1291.456477,-1.099776387,2.690376997
1299.468419,1296.461845,-1.099956751,2.677142859
1304.47169,1301.465116,-1.099776387,2.663293123
1309.475806,1306.469232,-1.099776387,2.648212433
1314.477054,1311.47048,-1.099776387,2.632208347
1319.481307,1316.474733,-1.099956751,2.615280867
1324.481609,1321.475035,-1.099956751,2.596814632
1329.486757,1326.480183,-1.099595904,2.577117443
1334.492064,1331.48549,-1.099776387,2.555265665
1339.500328,1336.493754,-1.099956751,2.530951738
1344.506648,1341.500074,-1.099956751,2.503867865
1349.512872,1346.506298,-1.099776387,2.473398685
1354.51405,1351.507475,-1.099776387,2.436774015
1359.523283,1356.516709,-1.099956751,2.391531706
1364.529571,1361.522997,-1.099776387,2.330900908
1369.535797,1366.529222,-1.099776387,2.233337402
1373.806013,1370.799439,-1.099776387,1.999431729
1378.809378,5.002174637,0,2.428771973
1383.815494,10.00829088,0,2.45524025
1388.82176,15.01455686,0,2.473398685
1393.826952,20.01974881,0,2.487863779
1398.828298,25.02109463,0,2.499559164
1403.836498,30.02929427,0,2.509715557
1408.840751,35.03354731,0,2.518640995
1413.845043,40.03783922,0,2.526027441
1418.850299,45.04309585,0,2.533413887
1423.8515,50.04429615,0,2.539569378
1428.853839,55.04663555,0,2.545109272
1433.859118,60.05191412,0,2.550341368
