Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance
(928.3472290039062-48.499576568603516j),(228.7861328125-70.94481658935547j),(3.76172584438583+0.9544956717274271j),(0.19021741554080737+0.07913959666077047j),(0.17493022756754967-0.02331644173631698j)
(922.0059814453125-52.15481185913086j),(233.29783630371094-67.84492492675781j),(3.70383574337748+0.8535511912426126j),(0.012482111540534805+0.03664975726191017j),(0.16866854345060991-0.024717137242854174j)
(920.0405883789062-52.19926452636719j),(236.62075805664062-67.22105407714844j),(3.6558702379340415+0.8179848126025503j),(0.030461237041852884-0.08529386061204824j),(0.16107808875912483-0.024114907529065532j)
(914.2005615234375-52.371726989746094j),(242.2973175048828-66.45936584472656j),(3.564190338159781+0.7614698525522733j),(0.14229365598447172-0.12192216177062407j),(0.14924381603096853-0.02372905366581296j)
(911.2781372070312-45.477928161621094j),(246.62347412109375-65.4150161743164j),(3.4978434135716947+0.7433743116536402j),(0.24388219819020493-0.08033187245076714j),(0.14049811021506395-0.022851601640846698j)
(907.116943359375-46.32453536987305j),(251.11593627929688-65.69110107421875j),(3.426140647581949+0.7117924049476518j),(0.303109266599245-0.01100015291136107j),(0.1311573351226623-0.02242361032794129j)
(899.554443359375-43.06085968017578j),(259.12646484375-67.00004577636719j),(3.2942234027295925+0.6855813018072434j),(0.32709058487432013+0.05145705088260462j),(0.12304603255413803-0.0195099331278606j)
(891.207275390625-43.172672271728516j),(266.564697265625-68.21566772460938j),(3.176714891409828+0.6509828833170116j),(0.33089967640944123+0.09355670635190765j),(0.11344810854459421-0.017644032709853628j)
(885.2266845703125-43.83500289916992j),(273.4709777832031-69.10552978515625j),(3.080782312186481+0.6182158425280606j),(0.3254359075820158+0.11409318785479901j),(0.10803339194768323-0.01638562897701378j)
(877.4107666015625-43.043678283691406j),(281.1755065917969-67.8630599975586j),(2.9836528086978147+0.5670342101181585j),(0.31603270085729296+0.1168731107735024j),(0.10034982474252357-0.013454518333835989j)
(869.1669311523438-32.299373626708984j),(290.7975769042969-63.1268196105957j),(2.877421779008529+0.5135638114670792j),(0.3043950608230716+0.10704665442123362j),(0.09646688571202522-0.012711480295294045j)
(863.4155883789062-34.705902099609375j),(296.7052917480469-62.994049072265625j),(2.8082590813097816+0.47925572017368867j),(0.2906762216987885+0.08960972430423403j),(0.09286828108987054-0.010405099565330738j)
(855.5844116210938-36.71454620361328j),(304.74676513671875-60.05250930786133j),(2.725433722670383+0.4165904361217856j),(0.2748213658569219+0.06881941609141103j),(0.08937838660792048-0.009491326678364187j)
(851.501953125-37.06574630737305j),(309.5111389160156-58.922813415527344j),(2.6769005641612607+0.3898559728390345j),(0.25716521331153996+0.047943981753258855j),(0.08702269667073616-0.0079845846875542j)
(845.9674072265625-42.55794906616211j),(312.87109375-54.52806854248047j),(2.647184529946658+0.3253349780810909j),(0.2385107435826587+0.029182322681994072j),(0.08493790302032658-0.0076225669987573805j)
(843.8547973632812-22.357637405395508j),(319.1769714355469-45.88903045654297j),(2.6001698322057902+0.30378643791493026j),(0.2199416649437081+0.01372826014779339j),(0.08084229103349413-0.006333618822674727j)
(841.0050659179688-24.557353973388672j),(321.69635009765625-41.92070770263672j),(2.5804117242511175+0.25992005083681063j),(0.2025683656725732+0.001956993031573563j),(0.0803589337888254-0.005661267262145479j)
(839.1734008789062-24.87113380432129j),(324.9872131347656-42.32891082763672j),(2.548900534495686+0.25545943432068213j),(0.18732663920597553-0.006318338848358959j),(0.07646856487106468-0.005371270025902467j)
